location,total_deaths,total_deaths,total_deaths,total_deaths,total_deaths
,sum,count,mean,min,max
Panama,222435.0,223,997.4663677130045,1.0,2564.0
Papua New Guinea,326.0,70,4.6571428571428575,1.0,7.0
Paraguay,27731.0,199,139.35175879396985,1.0,929.0
Peru,3020038.0,214,14112.327102803738,2.0,33759.0
Philippines,403229.0,250,1612.916,1.0,6321.0
Poland,269037.0,210,1281.1285714285714,1.0,2792.0
Portugal,300431.0,215,1397.3534883720931,1.0,2162.0
Qatar,22269.0,198,112.46969696969697,1.0,220.0
Romania,464952.0,211,2203.563981042654,2.0,5872.0
Russia,1967275.0,200,9836.375,2.0,22597.0
Rwanda,1512.0,135,11.2,1.0,31.0
Saudi Arabia,421886.0,205,2057.980487804878,1.0,5108.0
Senegal,23431.0,179,130.89944134078212,1.0,306.0
Serbia,82111.0,206,398.59708737864077,1.0,763.0
Sierra Leone,9599.0,173,55.48554913294798,1.0,72.0
Singapore,4579.0,208,22.014423076923077,2.0,28.0
Slovakia,5616.0,190,29.557894736842105,2.0,61.0
Slovenia,22004.0,215,102.34418604651162,1.0,153.0
South Africa,1357682.0,207,6558.850241545893,2.0,18471.0
South Korea,60250.0,235,256.3829787234043,1.0,433.0
South Sudan,5415.0,146,37.08904109589041,1.0,50.0
Spain,5309129.0,222,23914.995495495496,1.0,33124.0
Sri Lanka,2017.0,198,10.186868686868687,1.0,13.0
Sudan,101989.0,218,467.8394495412844,1.0,836.0
Suriname,6852.0,198,34.60606060606061,1.0,109.0
Swaziland,6925.0,174,39.798850574712645,1.0,113.0
Sweden,941063.0,219,4297.091324200913,6.0,5918.0
Switzerland,320693.0,228,1406.548245614035,1.0,1823.0
Tajikistan,9410.0,165,57.03030303030303,2.0,79.0
Tanzania,3628.0,200,18.14,1.0,21.0
Thailand,11044.0,224,49.30357142857143,1.0,59.0
Togo,3993.0,202,19.76732673267327,1.0,51.0
Trinidad and Tobago,3258.0,194,16.79381443298969,1.0,81.0
Tunisia,19025.0,213,89.31924882629107,1.0,626.0
Turkey,1013004.0,211,4800.96682464455,1.0,9014.0
Uganda,3748.0,87,43.08045977011494,1.0,97.0
Ukraine,321434.0,211,1523.3838862559242,2.0,5229.0
United Arab Emirates,53974.0,203,265.8817733990148,2.0,442.0
United Kingdom,6606043.0,212,31160.580188679247,1.0,42317.0
United States,24954453.0,226,110417.93362831858,1.0,214771.0
Uruguay,6032.0,203,29.714285714285715,1.0,51.0
Uzbekistan,29810.0,201,148.3084577114428,1.0,516.0
Venezuela,37939.0,202,187.81683168316832,1.0,714.0
Vietnam,2318.0,80,28.975,3.0,35.0
Yemen,60126.0,165,364.4,2.0,596.0
Zambia,21714.0,186,116.74193548387096,1.0,333.0
Zimbabwe,15984.0,210,76.11428571428571,1.0,231.0
