location,total_cases,total_cases,total_cases,total_cases,total_cases
,sum,count,mean,min,max
Russia,123399590.0,200,616997.95,840.0,1298718.0
Rwanda,340693.0,135,2523.651851851852,359.0,4896.0
Saudi Arabia,37215708.0,205,181540.03902439025,767.0,340590.0
Senegal,1251475.0,179,6991.480446927374,190.0,14869.0
Serbia,3735245.0,206,18132.257281553397,135.0,34787.0
Sierra Leone,254102.0,173,1468.7976878612717,64.0,2306.0
Singapore,7953807.0,208,38239.456730769234,432.0,57889.0
Slovakia,641068.0,190,3374.0421052631577,534.0,20355.0
Slovenia,532370.0,215,2476.139534883721,275.0,13144.0
South Africa,63024717.0,207,304467.231884058,927.0,703793.0
South Korea,3157187.0,235,13434.83829787234,155.0,24703.0
South Sudan,298496.0,146,2044.4931506849316,231.0,2734.0
Spain,68181646.0,222,307124.53153153154,348.0,888968.0
Sri Lanka,408994.0,198,2065.626262626263,115.0,4752.0
Sudan,1649853.0,218,7568.133027522936,1.0,13691.0
Suriname,353398.0,198,1784.8383838383838,10.0,5123.0
Swaziland,381249.0,174,2191.0862068965516,19.0,5617.0
Sweden,11908539.0,219,54376.890410958906,620.0,103200.0
Switzerland,7551879.0,228,33122.27631578947,87.0,74422.0
Tajikistan,1075593.0,165,6518.745454545455,76.0,10336.0
Tanzania,88890.0,200,444.45,13.0,509.0
Thailand,647302.0,224,2889.7410714285716,42.0,3679.0
Togo,161645.0,202,800.2227722772277,25.0,1983.0
Trinidad and Tobago,154257.0,194,795.139175257732,60.0,4763.0
Tunisia,1000436.0,213,4696.882629107981,54.0,40542.0
Turkey,40052513.0,211,189822.336492891,191.0,340450.0
Uganda,396568.0,87,4558.252873563219,1089.0,10590.0
Ukraine,14639890.0,211,69383.36492890996,19.0,276177.0
United Arab Emirates,9254325.0,203,45587.8078817734,153.0,104004.0
United Kingdom,50351154.0,212,237505.44339622642,271.0,480017.0
United States,690145015.0,226,3053739.0044247787,69.0,7762544.0
Uruguay,235381.0,203,1159.512315270936,295.0,2501.0
Uzbekistan,4169049.0,201,20741.537313432837,133.0,62175.0
Venezuela,4495956.0,202,22257.20792079208,107.0,85005.0
Vietnam,80476.0,80,1005.95,558.0,1134.0
Yemen,214498.0,165,1299.9878787878788,6.0,2055.0
Zambia,913174.0,186,4909.537634408603,39.0,15052.0
Zimbabwe,593694.0,210,2827.114285714286,2.0,8147.0
